employee_id,age,gender,department,salary,performance_score,years_at_company,training_hours,satisfaction_score,attrition,joining_date,last_review_date
E001,34,Male,Engineering,95000,4.5,6,40,3.8,No,2018-03-12,2024-01-15
E002,27,Female,Marketing,62000,3.8,2,25,3.2,Yes,2022-01-07,2024-01-20
E003,45,male,Engineering,110000,4.8,12,55,4.5,No,2012-06-15,2024-02-01
E004,31,FEMALE,Sales,58000,3.2,4,20,2.8,Yes,2020-04-22,2024-01-10
E005,38,Male,HR,72000,4.1,8,35,3.9,No,2016-08-30,2024-02-15
E006,29,female,Marketing,65000,3.5,3,28,3.1,Yes,2021-02-14,2024-01-25
E007,,Male,Engineering,105000,4.6,10,50,4.2,No,2014-11-03,2024-02-10
E008,52,MALE,Management,145000,4.9,18,60,4.8,No,2006-07-19,2024-01-30
E009,33,Female,Sales,55000,3.0,3,15,2.5,Yes,2021-05-11,2024-02-05
E010,41,male,Engineering,98000,4.3,9,45,4.0,No,2015-09-24,2024-01-18
E011,26,Female,HR,68000,3.7,2,30,3.4,No,2022-03-08,2024-02-20
E012,48,FEMALE,Management,138000,4.7,15,58,4.6,No,2009-01-27,2024-01-12
E013,35,Male,Sales,60000,3.3,5,22,2.9,Yes,2019-10-16,2024-02-08
E014,30,female,Marketing,67000,3.9,4,32,3.6,No,2020-07-03,2024-01-22
E015,44,Male,Engineering,115000,4.7,11,52,4.4,No,2013-04-09,2024-02-12
E016,28,FEMALE,Sales,53000,2.8,2,12,2.3,Yes,2022-06-20,2024-01-08
E017,55,Male,Management,152000,4.8,20,62,4.9,No,2004-02-14,2024-02-18
E018,32,female,HR,70000,4.0,5,33,3.7,No,2019-12-01,2024-01-28
E019,39,Male,Engineering,102000,4.4,8,47,4.1,No,2016-05-17,2024-02-03
E020,25,FEMALE,Marketing,59000,3.1,1,18,2.7,Yes,2023-01-09,2024-01-15
E021,43,male,Sales,63000,3.6,7,26,3.3,No,2017-08-22,2024-02-22
E022,36,Female,Engineering,108000,4.5,9,48,4.3,No,2015-03-14,2024-01-20
E023,50,MALE,Management,142000,4.8,16,59,4.7,No,2008-09-30,2024-02-14
E024,29,female,HR,66000,3.6,3,28,3.3,Yes,2021-07-05,2024-01-25
E025,37,Male,Marketing,69000,4.0,6,35,3.8,No,2018-11-18,2024-02-06
E026,42,FEMALE,Engineering,112000,4.6,11,51,4.3,No,2013-06-27,2024-01-17
E027,,female,Sales,57000,3.1,4,19,2.6,Yes,2020-02-13,2024-02-09
E028,47,Male,Management,135000,4.7,14,57,4.5,No,2010-10-08,2024-01-31
E029,31,MALE,HR,71000,3.9,4,31,3.6,No,2020-05-25,2024-02-16
E030,24,female,Marketing,56000,,1,15,2.4,Yes,2023-04-17,2024-01-10
E031,40,Male,Engineering,106000,4.4,10,49,4.1,No,2014-08-06,2024-02-21
E032,34,Female,Sales,61000,3.4,5,23,3.0,Yes,2019-06-12,2024-01-14
E033,53,MALE,Management,148000,4.9,19,61,4.8,No,2005-03-29,2024-02-04
E034,28,female,HR,64000,3.5,2,27,3.2,No,2022-09-14,2024-01-26
E035,46,Male,Engineering,118000,4.8,13,54,4.5,No,2011-12-21,2024-02-13
E036,33,FEMALE,Marketing,63000,3.6,4,29,3.4,No,2020-01-08,2024-01-19
E037,27,male,Sales,52000,2.7,2,11,2.2,Yes,2022-07-31,2024-02-07
E038,38,Female,Engineering,99000,4.3,8,44,4.0,No,2016-04-10,2024-01-23
E039,49,MALE,Management,140000,4.7,15,58,4.6,No,2009-08-16,2024-02-17
E040,30,female,HR,69000,3.8,3,30,3.5,Yes,2021-11-04,2024-01-11
E041,35,Male,Marketing,66000,3.7,5,31,3.5,No,2019-02-26,2024-02-19
E042,43,FEMALE,Engineering,109000,4.5,10,50,4.2,No,2014-07-13,2024-01-16
E043,26,male,Sales,54000,2.9,2,14,2.4,Yes,2022-10-22,2024-02-02
E044,51,Female,Management,144000,4.8,17,60,4.7,No,2007-05-07,2024-01-29
E045,32,MALE,HR,73000,4.1,5,34,3.8,No,2019-09-19,2024-02-11
E046,39,female,Marketing,68000,3.9,6,33,3.7,No,2018-06-04,2024-01-21
E047,44,Male,Engineering,113000,4.6,12,53,4.4,No,2012-01-30,2024-02-23
E048,28,FEMALE,Sales,56000,3.0,3,17,2.6,Yes,2021-08-15,2024-01-13
E049,36,male,HR,67000,3.7,5,29,3.4,No,2019-04-03,2024-02-08
E050,41,Female,Engineering,103000,4.4,9,46,4.1,No,2015-10-28,2024-01-27
